name,team,conference,year,pick,round,position
D.J. Wonnum,South Carolina,SEC,2020,11,4,Defensive End
Albert Okwuegbunam,Missouri,SEC,2020,12,4,Tight End
Mykal Walker,Fresno State,Mountain West,2020,13,4,Inside Linebacker
La'Mical Perine,Florida,SEC,2020,14,4,Running Back
Logan Stenberg,Kentucky,SEC,2020,15,4,Offensive Guard
Jacob Eason,Washington,Pac-12,2020,16,4,Quarterback
Reggie Robinson II,Tulsa,American Athletic,2020,17,4,Cornerback
Anthony McFarland Jr.,Maryland,Big Ten,2020,18,4,Running Back
James Morgan,Florida International,Conference USA,2020,19,4,Quarterback
Charlie Heck,North Carolina,ACC,2020,20,4,Offensive Tackle
K'Von Wallace,Clemson,ACC,2020,21,4,Safety
Gabriel Davis,UCF,American Athletic,2020,22,4,Wide Receiver
Cameron Clark,Charlotte,Conference USA,2020,23,4,Offensive Tackle
James Lynch,Baylor,Big 12,2020,24,4,Defensive Tackle
Rashard Lawrence,LSU,SEC,2020,25,4,Defensive Tackle
Troy Dye,Oregon,Pac-12,2020,26,4,Inside Linebacker
Colby Parkinson,Stanford,Pac-12,2020,27,4,Tight End
Jaylinn Hawkins,California,Pac-12,2020,28,4,Safety
Kevin Dotson,Louisiana,Sun Belt,2020,29,4,Offensive Guard
Brycen Hopkins,Purdue,Big Ten,2020,30,4,Tight End
Josiah Scott,Michigan State,Big Ten,2020,31,4,Cornerback
L'Jarius Sneed,Louisiana Tech,Conference USA,2020,32,4,Safety
Amik Robertson,Louisiana Tech,Conference USA,2020,33,4,Cornerback
Shaquille Quarterman,Miami,ACC,2020,34,4,Inside Linebacker
John Reid,Penn State,Big Ten,2020,35,4,Cornerback
Antonio Gandy-Golden,Liberty,FBS Independents,2020,36,4,Wide Receiver
Ben Bredeson,Michigan,Big Ten,2020,37,4,Offensive Guard
DeeJay Dallas,Miami,ACC,2020,38,4,Running Back
Jack Driscoll,Auburn,SEC,2020,39,4,Offensive Guard
Tyler Biadasz,Wisconsin,Big Ten,2020,40,4,Center
Khalid Kareem,Notre Dame,FBS Independents,2020,1,5,Defensive End
Alton Robinson,Syracuse,ACC,2020,2,5,Defensive End
Danny Pinter,Ball State,Mid-American,2020,3,5,Offensive Guard
Shane Lemieux,Oregon,Pac-12,2020,4,5,Offensive Guard
Joe Reed,Virginia,ACC,2020,5,5,Wide Receiver
Kenny Robinson,West Virginia,Big 12,2020,6,5,Safety
Colton McKivitz,West Virginia,Big 12,2020,7,5,Offensive Tackle
Jason Strowbridge,North Carolina,ACC,2020,9,5,Defensive End
Trevis Gipson,Tulsa,American Athletic,2020,10,5,Outside Linebacker
Keith Ismael,San Diego State,Mountain West,2020,11,5,Center
Daniel Thomas,Auburn,SEC,2020,12,5,Safety
Bryce Hall,Virginia,ACC,2020,13,5,Cornerback
Justin Rohrwasser,Marshall,Conference USA,2020,14,5,Place Kicker
Nick Harris,Washington,Pac-12,2020,15,5,Center
Tyler Johnson,Minnesota,Big Ten,2020,16,5,Wide Receiver
Khaleke Hudson,Michigan,Big Ten,2020,17,5,Outside Linebacker
Kindle Vildor,Georgia Southern,Sun Belt,2020,18,5,Cornerback
Curtis Weaver,Boise State,Mountain West,2020,19,5,Defensive End
Collin Johnson,Texas,Big 12,2020,20,5,Wide Receiver
Quintez Cephus,Wisconsin,Big Ten,2020,21,5,Wide Receiver
Jake Fromm,Georgia,SEC,2020,22,5,Quarterback
John Hightower,Boise State,Mountain West,2020,23,5,Wide Receiver
Harrison Hand,Temple,American Athletic,2020,24,5,Cornerback
Broderick Washington Jr,Texas Tech,Big 12,2020,25,5,Defensive Tackle
Isaiah Coulter,Rhode Island,CAA,2020,26,5,Wide Receiver
Jason Huntley,New Mexico State,FBS Independents,2020,27,5,Running Back
Darnell Mooney,Tulane,American Athletic,2020,28,5,Wide Receiver
Larrell Murchison,NC State,ACC,2020,29,5,Defensive Tackle
Kamal Martin,Minnesota,Big Ten,2020,30,5,Inside Linebacker
K.J. Osborn,Miami,ACC,2020,31,5,Wide Receiver
Mike Danna,Michigan,Big Ten,2020,32,5,Defensive End
Justin Strnad,Wake Forest,ACC,2020,33,5,Outside Linebacker
Bradlee Anae,Utah,Pac-12,2020,34,5,Defensive End
Hakeem Adeniji,Kansas,Big 12,2020,1,6,Offensive Tackle
Netane Muti,Fresno State,Mountain West,2020,2,6,Offensive Guard
Michael Onwenu,Michigan,Big Ten,2020,3,6,Offensive Guard
Cam Brown,Penn State,Big Ten,2020,4,6,Outside Linebacker
Bravvion Roy,Baylor,Big 12,2020,5,6,Defensive Tackle
Blake Ferguson,LSU,SEC,2020,6,6,Long Snapper
Alohi Gilman,Notre Dame,FBS Independents,2020,7,6,Safety
Donovan Peoples-Jones,Michigan,Big Ten,2020,8,6,Wide Receiver
Tyler Bass,Georgia Southern,Sun Belt,2020,9,6,Place Kicker
Jake Luton,Oregon State,Pac-12,2020,10,6,Quarterback
Charlie Woerner,Georgia,SEC,2020,11,6,Tight End
Braden Mann,Texas A&M,SEC,2020,12,6,Punter
Jon Runyan,Michigan,Big Ten,2020,13,6,Offensive Guard
Robert Windsor,Penn State,Big Ten,2020,14,6,Defensive Tackle
Khalil Davis,Nebraska,Big Ten,2020,15,6,Defensive Tackle
Justin Herron,Wake Forest,ACC,2020,16,6,Offensive Tackle
Shaun Bradley,Temple,American Athletic,2020,17,6,Inside Linebacker
John Penisini,Utah,Pac-12,2020,18,6,Defensive Tackle
Antoine Brooks Jr.,Maryland,Big Ten,2020,19,6,Safety
Jordan Fuller,Ohio State,Big Ten,2020,20,6,Safety
Quez Watkins,Southern Mississippi,Conference USA,2020,21,6,Wide Receiver
James Proche,SMU,American Athletic,2020,22,6,Wide Receiver
Evan Weaver,California,Pac-12,2020,23,6,Inside Linebacker
Blake Brandel,Oregon State,Pac-12,2020,24,6,Offensive Tackle
Cassh Maluia,Wyoming,Mountain West,2020,25,6,Inside Linebacker
Josh Metellus,Michigan,Big Ten,2020,26,6,Safety
Tyler Davis,Georgia Tech,ACC,2020,27,6,Tight End
Isaiah Hodgins,Oregon State,Pac-12,2020,28,6,Wide Receiver
Jake Hanson,Oregon,Pac-12,2020,29,6,Center
Simon Stepaniak,Indiana,Big Ten,2020,30,6,Offensive Tackle
Prince Tega Wanogho,Auburn,SEC,2020,31,6,Offensive Tackle
Isaiah Rodgers,UMass,FBS Independents,2020,32,6,Cornerback
Dezmon Patmon,Washington State,Pac-12,2020,33,6,Wide Receiver
Jordan Glasgow,Michigan,Big Ten,2020,34,6,Inside Linebacker
Freddie Swain,Florida,SEC,2020,36,6,Wide Receiver
Markus Bailey,Purdue,Big Ten,2020,1,7,Inside Linebacker
Kamren Curl,Arkansas,SEC,2020,2,7,Safety
Jauan Jennings,Tennessee,SEC,2020,3,7,Wide Receiver
Carter Coughlin,Minnesota,Big Ten,2020,4,7,Outside Linebacker
Geno Stone,Iowa,Big Ten,2020,5,7,Safety
K.J. Hill,Ohio State,Big Ten,2020,6,7,Wide Receiver
Stantley Thomas-Oliver III,Florida International,Conference USA,2020,7,7,Cornerback
Eno Benjamin,Arizona State,Pac-12,2020,8,7,Running Back
Chris Claybrooks,Memphis,American Athletic,2020,9,7,Cornerback
Cole McDonald,Hawai'i,Mountain West,2020,10,7,Quarterback
Kenny Willekes,Michigan State,Big Ten,2020,11,7,Defensive End
Arlington Hambright,Colorado,Pac-12,2020,12,7,Offensive Tackle
Lachavious Simmons,Tennessee State,OVC,2020,13,7,Offensive Guard
Sterling Hofrichter,Syracuse,ACC,2020,14,7,Punter
James Smith-Williams,NC State,ACC,2020,15,7,Defensive End
Dustin Woodard,Memphis,American Athletic,2020,16,7,Center
Ben DiNucci,James Madison,CAA,2020,17,7,Quarterback
Carlos Davis,Nebraska,Big Ten,2020,18,7,Defensive Tackle
Casey Toohill,Stanford,Pac-12,2020,19,7,Defensive End
Clay Johnston,Baylor,Big 12,2020,20,7,Inside Linebacker
Jashon Cornell,Ohio State,Big Ten,2020,21,7,Defensive End
Vernon Scott,TCU,Big 12,2020,22,7,Safety
Thakarius Keyes,Tulane,American Athletic,2020,23,7,Cornerback
TJ Brunson,South Carolina,SEC,2020,24,7,Inside Linebacker
Dane Jackson,Pittsburgh,ACC,2020,25,7,Cornerback
Tommy Stevens,Mississippi State,SEC,2020,26,7,Quarterback
Chapelle Russell,Temple,American Athletic,2020,27,7,Outside Linebacker
Jonathan Garvin,Miami,ACC,2020,28,7,Defensive End
Chris Jackson,Marshall,Conference USA,2020,29,7,Safety
Nate Stanley,Iowa,Big Ten,2020,30,7,Quarterback
Raymond Calais,Louisiana,Sun Belt,2020,31,7,Running Back
Malcolm Perry,Navy,American Athletic,2020,32,7,Wide Receiver
Chris Williamson,Minnesota,Big Ten,2020,33,7,Cornerback
Sam Sloman,Miami (OH),Mid-American,2020,34,7,Place Kicker
Brian Cole II,Mississippi State,SEC,2020,35,7,Safety
Tremayne Anchrum,Clemson,ACC,2020,36,7,Offensive Guard
Stephen Sullivan,LSU,SEC,2020,37,7,Tight End
Tyrie Cleveland,Florida,SEC,2020,38,7,Wide Receiver
Kyle Hinton,Washburn,Mid America,2020,39,7,Offensive Guard
Derrek Tuszka,North Dakota State,MVFC,2020,40,7,Outside Linebacker
Tae Crowder,Georgia,SEC,2020,41,7,Inside Linebacker
Trevor Lawrence,Clemson,ACC,2021,1,1,Quarterback
Zach Wilson,BYU,FBS Independents,2021,2,1,Quarterback
Trey Lance,North Dakota State,MVFC,2021,3,1,Quarterback
Kyle Pitts,Florida,SEC,2021,4,1,Tight End
Ja'Marr Chase,LSU,SEC,2021,5,1,Wide Receiver
Jaylen Waddle,Alabama,SEC,2021,6,1,Wide Receiver
Penei Sewell,Oregon,Pac-12,2021,7,1,Offensive Tackle
Jaycee Horn,South Carolina,SEC,2021,8,1,Cornerback
Pat Surtain II,Alabama,SEC,2021,9,1,Cornerback
DeVonta Smith,Alabama,SEC,2021,10,1,Wide Receiver
Justin Fields,Ohio State,Big Ten,2021,11,1,Quarterback
Micah Parsons,Penn State,Big Ten,2021,12,1,Inside Linebacker
Rashawn Slater,Northwestern,Big Ten,2021,13,1,Offensive Tackle
Alijah Vera-Tucker,USC,Pac-12,2021,14,1,Offensive Guard
Mac Jones,Alabama,SEC,2021,15,1,Quarterback
Zaven Collins,Tulsa,American Athletic,2021,16,1,Outside Linebacker
Alex Leatherwood,Alabama,SEC,2021,17,1,Offensive Tackle
Jaelan Phillips,Miami,ACC,2021,18,1,Defensive End
Jamin Davis,Kentucky,SEC,2021,19,1,Inside Linebacker
Kadarius Toney,Florida,SEC,2021,20,1,Wide Receiver
Kwity Paye,Michigan,Big Ten,2021,21,1,Defensive End
Caleb Farley,Virginia Tech,ACC,2021,22,1,Cornerback
Christian Darrisaw,Virginia Tech,ACC,2021,23,1,Offensive Tackle
Najee Harris,Alabama,SEC,2021,24,1,Running Back
Travis Etienne,Clemson,ACC,2021,25,1,Running Back
Greg Newsome II,Northwestern,Big Ten,2021,26,1,Cornerback
Rashod Bateman,Minnesota,Big Ten,2021,27,1,Wide Receiver
Payton Turner,Houston,American Athletic,2021,28,1,Defensive End
Eric Stokes,Georgia,SEC,2021,29,1,Cornerback
Gregory Rousseau,Miami,ACC,2021,30,1,Defensive End
Odafe Oweh,Penn State,Big Ten,2021,31,1,Outside Linebacker
Joe Tryon,Washington,Pac-12,2021,32,1,Outside Linebacker
Tyson Campbell,Georgia,SEC,2021,1,2,Cornerback
Elijah Moore,Ole Miss,SEC,2021,2,2,Wide Receiver
Javonte Williams,North Carolina,ACC,2021,3,2,Running Back
Jevon Holland,Oregon,Pac-12,2021,4,2,Safety
Landon Dickerson,Alabama,SEC,2021,5,2,Center
Christian Barmore,Alabama,SEC,2021,6,2,Defensive Tackle
Teven Jenkins,Oklahoma State,Big 12,2021,7,2,Offensive Tackle
Richie Grant,UCF,American Athletic,2021,8,2,Safety
Levi Onwuzurike,Washington,Pac-12,2021,9,2,Defensive Tackle
Liam Eichenberg,Notre Dame,FBS Independents,2021,10,2,Offensive Tackle
Trevon Moehrig,TCU,Big 12,2021,11,2,Safety
Kelvin Joseph,Kentucky,SEC,2021,12,2,Cornerback
Walker Little,Stanford,Pac-12,2021,13,2,Offensive Tackle
Jackson Carman,Clemson,ACC,2021,14,2,Offensive Tackle
Asante Samuel Jr.,Florida State,ACC,2021,15,2,Cornerback
Aaron Banks,Notre Dame,FBS Independents,2021,16,2,Offensive Guard
Rondale Moore,Purdue,Big Ten,2021,17,2,Wide Receiver
Azeez Ojulari,Georgia,SEC,2021,18,2,Outside Linebacker
Samuel Cosmi,Texas,Big 12,2021,19,2,Offensive Tackle
Jeremiah Owusu-Koramoah,Notre Dame,FBS Independents,2021,20,2,Inside Linebacker
Dillon Radunz,North Dakota State,MVFC,2021,21,2,Offensive Tackle
Dayo Odeyingbo,Vanderbilt,SEC,2021,22,2,Defensive End
Pat Freiermuth,Penn State,Big Ten,2021,23,2,Tight End
D'Wayne Eskridge,Western Michigan,Mid-American,2021,24,2,Wide Receiver
Tutu Atwell,Louisville,ACC,2021,25,2,Wide Receiver
Nick Bolton,Missouri,SEC,2021,26,2,Inside Linebacker
Terrace Marshall Jr.,LSU,SEC,2021,27,2,Wide Receiver
Pete Werner,Ohio State,Big Ten,2021,28,2,Inside Linebacker
Carlos Basham Jr.,Wake Forest,ACC,2021,29,2,Defensive End
Josh Myers,Ohio State,Big Ten,2021,30,2,Center
Creed Humphrey,Oklahoma,Big 12,2021,31,2,Center
Kyle Trask,Florida,SEC,2021,32,2,Quarterback
Andre Cisco,Syracuse,ACC,2021,1,3,Safety
Kellen Mond,Texas A&M,SEC,2021,2,3,Quarterback
Davis Mills,Stanford,Pac-12,2021,3,3,Quarterback
Jalen Mayfield,Michigan,Big Ten,2021,4,3,Offensive Tackle
Joseph Ossai,Texas,Big 12,2021,5,3,Defensive End
Brady Christensen,BYU,FBS Independents,2021,6,3,Offensive Tackle
Aaron Robinson,UCF,American Athletic,2021,7,3,Cornerback
Alim McNeill,NC State,ACC,2021,8,3,Defensive Tackle
Milton Williams,Louisiana Tech,Conference USA,2021,9,3,Defensive Tackle
Benjamin St-Juste,Minnesota,Big Ten,2021,10,3,Cornerback
Osa Odighizuwa,UCLA,Pac-12,2021,11,3,Defensive Tackle
Paulson Adebo,Stanford,Pac-12,2021,12,3,Cornerback
Josh Palmer,Tennessee,SEC,2021,14,3,Wide Receiver
Chazz Surratt,North Carolina,ACC,2021,15,3,Inside Linebacker
Malcolm Koonce,Buffalo,Mid-American,2021,16,3,Outside Linebacker
Divine Deablo,Virginia Tech,ACC,2021,17,3,Safety
Hunter Long,Boston College,ACC,2021,18,3,Tight End
Dyami Brown,North Carolina,ACC,2021,19,3,Wide Receiver
Tommy Tremble,Notre Dame,FBS Independents,2021,20,3,Tight End
Chauncey Golston,Iowa,Big Ten,2021,21,3,Defensive End
Amari Rodgers,Clemson,ACC,2021,22,3,Wide Receiver
Wyatt Davis,Ohio State,Big Ten,2021,23,3,Offensive Guard
Kendrick Green,Illinois,Big Ten,2021,24,3,Center
Trey Sermon,Ohio State,Big Ten,2021,25,3,Running Back
Nico Collins,Michigan,Big Ten,2021,26,3,Wide Receiver
Patrick Jones II,Pittsburgh,ACC,2021,27,3,Defensive End
Anthony Schwartz,Auburn,SEC,2021,28,3,Wide Receiver
Monty Rice,Georgia,SEC,2021,29,3,Inside Linebacker
Spencer Brown,Northern Iowa,MVFC,2021,30,3,Offensive Tackle
Ben Cleveland,Georgia,SEC,2021,31,3,Offensive Guard
Robert Hainsey,Notre Dame,FBS Independents,2021,32,3,Offensive Tackle
Ronnie Perkins,Oklahoma,Big 12,2021,33,3,Defensive End
Tre' McKitty,Georgia,SEC,2021,34,3,Tight End
Quinn Meinerz,Wisconsin-Whitewater,,2021,35,3,Offensive Guard
Nahshon Wright,Oregon State,Pac-12,2021,36,3,Cornerback
Elijah Molden,Washington,Pac-12,2021,37,3,Cornerback
Ifeatu Melifonwu,Syracuse,ACC,2021,38,3,Cornerback
Ambry Thomas,Michigan,Big Ten,2021,39,3,Cornerback
Ernest Jones,South Carolina,SEC,2021,40,3,Inside Linebacker
Brandon Stephens,SMU,American Athletic,2021,41,3,Cornerback
Baron Browning,Ohio State,Big Ten,2021,42,3,Outside Linebacker
Jay Tufele,USC,Pac-12,2021,1,4,Defensive Tackle
Michael Carter,North Carolina,ACC,2021,2,4,Running Back
Darren Hall,San Diego State,Mountain West,2021,3,4,Cornerback
Dez Fitzpatrick,Louisville,ACC,2021,4,4,Wide Receiver
James Hudson,Cincinnati,American Athletic,2021,5,4,Offensive Tackle
Cameron Sample,Tulane,American Athletic,2021,6,4,Defensive End
Amon-Ra St. Brown,USC,Pac-12,2021,7,4,Wide Receiver
Derrick Barnes,Purdue,Big Ten,2021,8,4,Inside Linebacker
Drew Dalman,Stanford,Pac-12,2021,9,4,Center
Jabril Cox,LSU,SEC,2021,10,4,Inside Linebacker
Elerson Smith,Northern Iowa,MVFC,2021,11,4,Outside Linebacker
Bobby Brown III,Texas A&M,SEC,2021,12,4,Defensive Tackle
Chris Rumph II,Duke,ACC,2021,13,4,Outside Linebacker
Kene Nwangwu,Iowa State,Big 12,2021,14,4,Running Back
Rhamondre Stevenson,Oklahoma,Big 12,2021,15,4,Running Back
Jordan Smith,UAB,Conference USA,2021,16,4,Defensive End
Tyler Shelvin,LSU,SEC,2021,17,4,Defensive Tackle
Zech McPhearson,Texas Tech,Big 12,2021,18,4,Cornerback
John Bates,Boise State,Mountain West,2021,19,4,Tight End
Camryn Bynum,California,Pac-12,2021,20,4,Cornerback
Chuba Hubbard,Oklahoma State,Big 12,2021,21,4,Running Back
Kylen Granson,SMU,American Athletic,2021,22,4,Tight End
Dan Moore Jr.,Texas A&M,SEC,2021,23,4,Offensive Tackle
Jaelon Darden,North Texas,Conference USA,2021,24,4,Wide Receiver
Robert Rochell,Central Arkansas,Southland,2021,25,4,Cornerback
Tylan Wallace,Oklahoma State,Big 12,2021,26,4,Wide Receiver
Tommy Togiai,Ohio State,Big Ten,2021,27,4,Defensive Tackle
Ian Book,Notre Dame,FBS Independents,2021,28,4,Quarterback
Janarius Robinson,Florida State,ACC,2021,29,4,Defensive End
Rashad Weaver,Pittsburgh,ACC,2021,30,4,Defensive End
Marco Wilson,Florida,SEC,2021,31,4,Cornerback
Tre Brown,Oklahoma,Big 12,2021,32,4,Cornerback
Josh Ball,Marshall,Conference USA,2021,33,4,Offensive Tackle
D'Ante Smith,East Carolina,American Athletic,2021,34,4,Offensive Tackle
Buddy Johnson,Texas A&M,SEC,2021,35,4,Inside Linebacker
Jacob Harris,UCF,American Athletic,2021,36,4,Wide Receiver
Royce Newman,Ole Miss,SEC,2021,37,4,Offensive Guard
Tyree Gillespie,Missouri,SEC,2021,38,4,Safety
Joshua Kaindoh,Florida State,ACC,2021,39,4,Defensive End
Luke Farrell,Ohio State,Big Ten,2021,1,5,Tight End
Jamien Sherwood,Auburn,SEC,2021,2,5,Safety
Brevin Jordan,Miami,ACC,2021,3,5,Tight End
Ta'Quon Graham,Texas,Big 12,2021,4,5,Defensive Tackle
Evan McPherson,Florida,SEC,2021,5,5,Place Kicker
Kenneth Gainwell,Memphis,American Athletic,2021,6,5,Running Back
Larry Borom,Missouri,SEC,2021,7,5,Offensive Tackle
Caden Sterns,Texas,Big 12,2021,8,5,Safety
Tony Fields II,West Virginia,Big 12,2021,9,5,Inside Linebacker
Michael Carter II,Duke,ACC,2021,10,5,Safety
Jaylon Moore,Western Michigan,Mid-American,2021,11,5,Offensive Guard
Isaiahh Loudermilk,Wisconsin,Big Ten,2021,12,5,Defensive Tackle
Ihmir Smith-Marsette,Iowa,Big Ten,2021,13,5,Wide Receiver
Daviyon Nixon,Iowa,Big Ten,2021,14,5,Defensive Tackle
Brenden Jaimes,Nebraska,Big Ten,2021,15,5,Offensive Tackle
Shaun Wade,Ohio State,Big Ten,2021,16,5,Cornerback
Tommy Doyle,Miami (OH),Mid-American,2021,17,5,Offensive Tackle
Noah Gray,Duke,ACC,2021,18,5,Tight End
Darrick Forrest,Cincinnati,American Athletic,2021,19,5,Safety
Jamar Johnson,Indiana,Big Ten,2021,20,5,Safety
Shawn Davis,Florida,SEC,2021,21,5,Safety
Keith Taylor,Washington,Pac-12,2021,22,5,Cornerback
Nate Hobbs,Illinois,Big Ten,2021,23,5,Cornerback
Zach Davidson,Central Missouri,,2021,24,5,Tight End
Richard LeCounte,Georgia,SEC,2021,25,5,Safety
Garret Wallow,TCU,Big 12,2021,26,5,Inside Linebacker
Daelin Hayes,Notre Dame,FBS Independents,2021,27,5,Defensive End
Deommodore Lenoir,Oregon,Pac-12,2021,28,5,Cornerback
Tedarrell Slaton,Florida,SEC,2021,29,5,Defensive Tackle
Earnest Brown IV,Northwestern,Big Ten,2021,30,5,Defensive End
Jason Pinnock,Pittsburgh,ACC,2021,31,5,Cornerback
K.J. Britt,Auburn,SEC,2021,32,5,Inside Linebacker
Cameron McGrone,Michigan,Big Ten,2021,33,5,Inside Linebacker
Shemar Jean-Charles,Appalachian State,Sun Belt,2021,34,5,Cornerback
Simi Fehoko,Stanford,Pac-12,2021,35,5,Wide Receiver
Talanoa Hufanga,USC,Pac-12,2021,36,5,Safety
Cornell Powell,Clemson,ACC,2021,37,5,Wide Receiver
Adetokunbo Ogundeji,Notre Dame,FBS Independents,2021,38,5,Defensive End
Avery Williams,Boise State,Mountain West,2021,39,5,Cornerback
Ben Mason,Michigan,Big Ten,2021,40,5,Fullback
Nick Niemann,Iowa,Big Ten,2021,1,6,Inside Linebacker
Hamsah Nasirildeen,Florida State,ACC,2021,2,6,Safety
Frank Darby,Arizona State,Pac-12,2021,3,6,Wide Receiver
Joshuah Bledsoe,Missouri,SEC,2021,4,6,Safety
Marlon Tuipulotu,USC,Pac-12,2021,5,6,Defensive Tackle
Trey Hill,Georgia,SEC,2021,6,6,Center
Tarron Jackson,Coastal Carolina,Sun Belt,2021,7,6,Defensive End
Quinton Bohanna,Kentucky,SEC,2021,8,6,Defensive Tackle
Deonte Brown,Alabama,SEC,2021,9,6,Offensive Guard
Elijah Mitchell,Louisiana,Sun Belt,2021,10,6,Running Back
Roy Lopez,Arizona,Pac-12,2021,11,6,Defensive Tackle
Gary Brightwell,Arizona,Pac-12,2021,12,6,Running Back
William Sherman,Colorado,Pac-12,2021,13,6,Offensive Tackle
Larry Rountree III,Missouri,SEC,2021,14,6,Running Back
Jaylen Twyman,Pittsburgh,ACC,2021,15,6,Defensive Tackle
Brandin Echols,Kentucky,SEC,2021,16,6,Cornerback
Rodarius Williams,Oklahoma State,Big 12,2021,17,6,Cornerback
Chris Evans,Michigan,Big Ten,2021,18,6,Running Back
Marquez Stevenson,Houston,American Athletic,2021,19,6,Wide Receiver
Shi Smith,South Carolina,SEC,2021,20,6,Wide Receiver
Racey McMath,LSU,SEC,2021,21,6,Wide Receiver
Landon Young,Kentucky,SEC,2021,22,6,Offensive Tackle
Jonathan Marshall,Arkansas,SEC,2021,23,6,Defensive Tackle
Stone Forsythe,Florida,SEC,2021,24,6,Offensive Tackle
Jalen Camp,Georgia Tech,ACC,2021,25,6,Wide Receiver
Victor Dimukeje,Duke,ACC,2021,26,6,Defensive End
Demetric Felton,UCLA,Pac-12,2021,27,6,Wide Receiver
Damar Hamlin,Pittsburgh,ACC,2021,28,6,Safety
Rachad Wildgoose,Wisconsin,Big Ten,2021,29,6,Cornerback
Cole Van Lanen,Wisconsin,Big Ten,2021,30,6,Offensive Tackle
Brady Breeze,Oregon,Pac-12,2021,31,6,Safety
Quincy Roche,Miami,ACC,2021,32,6,Outside Linebacker
Khalil Herbert,Virginia Tech,ACC,2021,33,6,Running Back
Sam Ehlinger,Texas,Big 12,2021,34,6,Quarterback
Seth Williams,Auburn,SEC,2021,35,6,Wide Receiver
Isaiah McDuffie,Boston College,ACC,2021,36,6,Inside Linebacker
Dazz Newsome,North Carolina,ACC,2021,37,6,Wide Receiver
Thomas Fletcher,Alabama,SEC,2021,38,6,Long Snapper
Tay Gowan,UCF,American Athletic,2021,39,6,Cornerback
JaCoby Stevens,LSU,SEC,2021,40,6,Safety
Camaron Cheeseman,Michigan,Big Ten,2021,41,6,Long Snapper
Trey Smith,Tennessee,SEC,2021,42,6,Offensive Guard
Israel Mukuamu,South Carolina,SEC,2021,43,6,Cornerback
Thomas Graham Jr.,Oregon,Pac-12,2021,44,6,Cornerback
Mike Strachan,Charleston (WV),Mountain East,2021,1,7,Wide Receiver
Jimmy Morrissey,Pittsburgh,ACC,2021,2,7,Center
Larnel Coleman,UMass,FBS Independents,2021,3,7,Offensive Tackle
Phil Hoskins,Kentucky,SEC,2021,4,7,Defensive Tackle
Jake Funk,Maryland,Big Ten,2021,5,7,Running Back
Patrick Johnson,Tulane,American Athletic,2021,6,7,Outside Linebacker
Wyatt Hubert,Kansas State,Big 12,2021,7,7,Defensive End
Jack Anderson,Texas Tech,Big 12,2021,8,7,Offensive Guard
Kary Vincent Jr.,LSU,SEC,2021,9,7,Cornerback
Matt Farniok,Nebraska,Big Ten,2021,10,7,Offensive Guard
Jonathon Cooper,Ohio State,Big Ten,2021,11,7,Defensive End
William Bradley-King,Baylor,Big 12,2021,12,7,Outside Linebacker
Mark Webb,Georgia,SEC,2021,13,7,Safety
Tre Nixon,UCF,American Athletic,2021,15,7,Wide Receiver
James Wiggins,Cincinnati,American Athletic,2021,16,7,Safety
Gerrid Doaks,Cincinnati,American Athletic,2021,17,7,Running Back
Tre Norwood,Oklahoma,Big 12,2021,18,7,Cornerback
Shaka Toney,Penn State,Big Ten,2021,19,7,Defensive End
Michal Menet,Penn State,Big Ten,2021,20,7,Center
Will Fries,Penn State,Big Ten,2021,21,7,Offensive Tackle
Ben Skowronek,Notre Dame,FBS Independents,2021,22,7,Wide Receiver
Khyiris Tonga,BYU,FBS Independents,2021,23,7,Defensive Tackle
Chris Wilcox,BYU,FBS Independents,2021,24,7,Cornerback
Chris Garrett,Concordia-St. Paul,Northern Sun,2021,25,7,Outside Linebacker
Marquiss Spencer,Mississippi State,SEC,2021,26,7,Defensive End
Pressley Harvin III,Georgia Tech,ACC,2021,27,7,Punter
Kawaan Baker,South Alabama,Sun Belt,2021,28,7,Wide Receiver
Kylin Hill,Mississippi State,SEC,2021,29,7,Running Back
Jermar Jefferson,Oregon State,Pac-12,2021,30,7,Running Back
