year,team,sor,sos,team_fixed
2016,California,60,8,California
2016,TCU,61,39,TCU
2016,South Carolina,62,50,South Carolina
2016,Texas,63,21,Texas
2016,Texas Tech,64,28,Texas Tech
2016,Arizona State,65,31,Arizona State
2016,Louisiana Tech,66,95,Louisiana Tech
2016,New Mexico,67,126,New Mexico
2016,Indiana,68,62,Indiana
2016,Maryland,69,64,Maryland
2016,Syracuse,70,11,Syracuse
2016,Wyoming,71,77,Wyoming
2016,Oregon,72,14,Oregon
2016,UCLA,73,12,UCLA
2016,Duke,74,13,Duke
2016,Oregon State,75,15,Oregon State
2016,Army,76,107,Army
2016,Colorado State,77,82,Colorado State
2016,Arkansas State,78,116,Arkansas State
2016,Middle Tennessee,79,124,Middle Tennessee
2016,Notre Dame,80,34,Notre Dame
2016,SMU,81,65,SMU
2016,Ohio,82,111,Ohio
2016,Missouri,83,56,Missouri
2016,UCF,84,80,UCF
2016,Hawai'i,85,86,Hawai'i
2016,Eastern Michigan,86,109,Eastern Michigan
2016,Arizona,87,19,Arizona
2016,Southern Mississippi,88,118,Southern Mississippi
2016,Iowa State,89,23,Iowa State
2016,Michigan State,90,33,Michigan State
2016,Central Michigan,91,87,Central Michigan
2016,Illinois,92,42,Illinois
2016,Northern Illinois,93,89,Northern Illinois
2016,Georgia Southern,94,90,Georgia Southern
2016,UT San Antonio,95,105,UT San Antonio
2016,Cincinnati,96,73,Cincinnati
2016,Miami (OH),97,115,Miami (OH)
